journal_id,original_title,international_title,print_issn,online_issn,scientific_field,level_2025
480486,# ISOJ Journal,# ISOJ Journal,2328-0700,2328-0662,Media and Communication,0
496626,"(Pensamiento), (palabra)... y obra","(Pensamiento), (palabra)... y obra",2011-804X,2462-8441,Education and Educational Research,1
469872,(Pré)publications,(Pré)publications,,1604-5394,History and History of Ideas,1
485792,@nalyses,@nalyses,,1715-9261,Romance Studies,1
499037,[in]Transition,[in]Transition,,2469-4312,Media and Communication,1
475372,[tilt],[tilt],1502-2471,1892-3100,Education and Educational Research,0
495209,+E: Revista de Extensión Universitaria,+E: Revista de Extensión Universitaria,2250-4591,2346-9986,Education and Educational Research,1
477917,16:9 filmtidsskrift,16:9 filmtidsskrift,,1603-5194,Theatre and Drama,1
451123,"1650-1850 : Ideas, Aesthetics, and Inquiries in the Early Modern Era","1650-1850 : Ideas, Aesthetics, and Inquiries in the Early Modern Era",1065-3112,,History and History of Ideas,0
471316,1700-tal: Nordic Journal for Eighteenth-Century Studies,1700-tal: Nordic Journal for Eighteenth-Century Studies,1652-4772,2001-9866,History and History of Ideas,1
489168,19: interdisciplinary studies in the long nineteenth century,19: interdisciplinary studies in the long nineteenth century,,1755-1560,History and History of Ideas,1
448355,19th Century Music,19th Century Music,0148-2076,1533-8606,Musicology,2
490767,2D Materials,2D Materials,,2053-1583,Chemistry and Materials Technology,1
478533,2G,2G,1136-9647,,"Art, Design and Architecture",0
479220,3 Biotech,3 Biotech,2190-572X,2190-5738,Biosciences,1
469409,3-D Digital Imaging and Modeling,3-D Digital Imaging and Modeling,1550-6185,,ICT,1
508688,3D Printing in Medicine,3D Printing in Medicine,,2365-6271,Interdisciplinary Natural Sciences,1
485501,"3L: Language, Linguistics, Literature. The Southeast Asian Journal of English Language Studies","3L: Language, Linguistics, Literature. The Southeast Asian Journal of English Language Studies",0128-5157,,English Studies,0
475401,452ºF. Revista de Teoría de la Literatura y Literatura Comparada,452ºF. Revista de Teoría de la Literatura y Literatura Comparada,,2013-3294,Literature,1
471983,49th Parallel : An Interdisciplinary Journal of North America,49th Parallel : An Interdisciplinary Journal of North America,,1753-5794,Ethnology,1
480164,4OR,4OR,1619-4500,1614-2411,Business and Finance,1
478534,A + Architectuur,A + Architectuur,1375-5072,,"Art, Design and Architecture",0
437092,A + U. Architecture and Urbanism,A + U. Architecture and Urbanism,0389-9160,,"Art, Design and Architecture",1
471985,A Contracorriente: una revista de estudios latinoamericanos,A Contracorriente: una revista de estudios latinoamericanos,,1548-7083,History and History of Ideas,0
449358,A Current Bibliography on African Affairs,A Current Bibliography on African Affairs,0011-3255,,Not assigned,0
